przystanek;nr_przystanku;linia;dzień;godzina docelowa
5002;01;190;2024-07-06;14:57:00
5002;01;190;2024-07-06;15:07:00
5002;01;190;2024-07-06;15:17:00
5002;01;190;2024-07-06;15:27:00
5002;01;190;2024-07-06;15:37:00
5002;01;190;2024-07-06;15:47:00
5002;01;190;2024-07-06;15:57:00
5002;01;190;2024-07-06;16:07:00
5002;01;190;2024-07-06;16:17:00
5002;01;190;2024-07-06;16:27:00
5002;01;190;2024-07-06;16:37:00
5002;01;190;2024-07-06;16:47:00
5002;01;190;2024-07-06;16:57:00
5002;01;190;2024-07-06;17:07:00
5002;01;190;2024-07-06;17:17:00
5002;01;190;2024-07-06;17:27:00
5002;01;190;2024-07-06;17:37:00
5002;01;190;2024-07-06;17:47:00
5002;01;190;2024-07-06;17:57:00
5002;01;190;2024-07-06;18:07:00
5002;01;190;2024-07-06;18:17:00
5002;01;190;2024-07-06;18:27:00
5002;01;190;2024-07-06;18:37:00
5002;01;190;2024-07-06;18:47:00
5002;01;190;2024-07-06;18:57:00
5002;01;190;2024-07-06;19:07:00
5002;01;190;2024-07-06;19:17:00
5002;01;190;2024-07-06;19:27:00
5002;01;190;2024-07-06;19:37:00
5002;01;190;2024-07-06;19:47:00
5002;01;190;2024-07-06;19:57:00
5002;01;190;2024-07-06;20:09:00
5002;01;190;2024-07-06;20:24:00
5002;01;190;2024-07-06;20:39:00
5002;01;190;2024-07-06;20:54:00
5002;01;190;2024-07-06;21:09:00
5002;01;190;2024-07-06;21:24:00
5002;01;190;2024-07-06;21:39:00
5002;01;190;2024-07-06;21:54:00
5002;01;190;2024-07-06;22:08:00
5002;01;190;2024-07-06;22:23:00
5002;01;190;2024-07-06;22:38:00
5002;01;190;2024-07-06;22:53:00
5002;01;190;2024-07-06;23:23:00
7085;01;190;2024-07-06;04:55:00
7085;01;190;2024-07-06;05:25:00
7085;01;190;2024-07-06;05:40:00
7085;01;190;2024-07-06;05:55:00
7085;01;190;2024-07-06;06:10:00
7085;01;190;2024-07-06;06:25:00
7085;01;190;2024-07-06;06:40:00
7085;01;190;2024-07-06;06:55:00
7085;01;190;2024-07-06;07:11:00
7085;01;190;2024-07-06;07:26:00
7085;01;190;2024-07-06;07:41:00
7085;01;190;2024-07-06;07:56:00
7085;01;190;2024-07-06;08:12:00
7085;01;190;2024-07-06;08:18:00
7085;01;190;2024-07-06;08:27:00
7085;01;190;2024-07-06;08:39:00
7085;01;190;2024-07-06;08:49:00
7085;01;190;2024-07-06;08:59:00
7085;01;190;2024-07-06;09:09:00
7085;01;190;2024-07-06;09:19:00
7085;01;190;2024-07-06;09:29:00
7085;01;190;2024-07-06;09:39:00
7085;01;190;2024-07-06;09:49:00
7085;01;190;2024-07-06;09:59:00
7085;01;190;2024-07-06;10:09:00
7085;01;190;2024-07-06;10:19:00
7085;01;190;2024-07-06;10:29:00
7085;01;190;2024-07-06;10:39:00
7085;01;190;2024-07-06;10:49:00
7085;01;190;2024-07-06;10:59:00
7085;01;190;2024-07-06;11:09:00
7085;01;190;2024-07-06;11:19:00
7085;01;190;2024-07-06;11:29:00
7085;01;190;2024-07-06;11:39:00
7085;01;190;2024-07-06;11:49:00
7085;01;190;2024-07-06;11:59:00
7085;01;190;2024-07-06;12:09:00
7085;01;190;2024-07-06;12:19:00
7085;01;190;2024-07-06;12:29:00
7085;01;190;2024-07-06;12:39:00
7085;01;190;2024-07-06;12:49:00
7085;01;190;2024-07-06;12:59:00
7085;01;190;2024-07-06;13:09:00
7085;01;190;2024-07-06;13:19:00
7085;01;190;2024-07-06;13:29:00
7085;01;190;2024-07-06;13:39:00
7085;01;190;2024-07-06;13:49:00
7085;01;190;2024-07-06;13:59:00
7085;01;190;2024-07-06;14:09:00
7085;01;190;2024-07-06;14:19:00
7085;01;190;2024-07-06;14:29:00
7085;01;190;2024-07-06;14:39:00
7085;01;190;2024-07-06;14:49:00
7085;01;190;2024-07-06;14:59:00
7085;01;190;2024-07-06;15:09:00
7085;01;190;2024-07-06;15:19:00
7085;01;190;2024-07-06;15:29:00
7085;01;190;2024-07-06;15:39:00
7085;01;190;2024-07-06;15:49:00
7085;01;190;2024-07-06;15:59:00
7085;01;190;2024-07-06;16:09:00
7085;01;190;2024-07-06;16:19:00
7085;01;190;2024-07-06;16:29:00
7085;01;190;2024-07-06;16:39:00
7085;01;190;2024-07-06;16:49:00
7085;01;190;2024-07-06;16:59:00
7085;01;190;2024-07-06;17:09:00
7085;01;190;2024-07-06;17:19:00
7085;01;190;2024-07-06;17:29:00
7085;01;190;2024-07-06;17:39:00
7085;01;190;2024-07-06;17:49:00
7085;01;190;2024-07-06;17:59:00
7085;01;190;2024-07-06;18:09:00
7085;01;190;2024-07-06;18:19:00
7085;01;190;2024-07-06;18:29:00
7085;01;190;2024-07-06;18:39:00
7085;01;190;2024-07-06;18:49:00
7085;01;190;2024-07-06;18:59:00
7085;01;190;2024-07-06;19:09:00
